Seed Number,Area ,Perimeter ,Length ,Width ,Length in Y ,Width in X ,Centroid X ,Centroid Y ,Ave Radial ,Radial Var ,CMRV ,Circular. ,Elongation ,S. Factor ,Germination
50,0.3936,2.4925,0.8438,0.5909,0.8391,0.5986,9.6775,8.425,0.3554,0.0023,121.8307,0.8389,0.7002,1.1208,Y
51,0.4335,2.6433,0.9713,0.8341,0.9674,0.5505,11.7827,8.2369,0.3739,0.0057,287.5075,0.7649,0.8588,1.1325,Y
52,0.4163,2.5671,0.9025,0.5579,0.8979,0.5666,13.7965,8.249,0.3664,0.0038,192.5805,0.8067,0.6182,1.1224,N
53,0.3811,2.4394,0.8717,0.5366,0.8659,0.5559,15.4889,8.1349,0.3521,0.0036,192.996,0.7992,0.6157,1.1147,Y
54,0.3016,2.1701,0.7585,0.4929,0.7429,0.4917,17.3299,8.136,0.3109,0.0022,132.8478,0.817,0.6499,1.1147,Y
55,0.3258,2.2455,0.8111,0.7338,0.8071,0.4917,18.9626,7.9148,0.3235,0.0032,184.527,0.7941,0.9047,1.1097,N
56,0.3585,2.3941,0.8124,0.79,0.8017,0.5505,21.0227,7.9423,0.3391,0.0029,157.9188,0.8317,0.9724,1.1279,Y
57,0.3853,2.4772,0.8603,0.7711,0.8552,0.5559,22.8628,7.9072,0.352,0.0029,156.6701,0.8142,0.8963,1.1258,Y
58,0.2769,2.1005,0.7109,0.4834,0.7055,0.4864,24.6591,7.8361,0.2975,0.0017,106.0519,0.8353,0.68,1.126,Y
59,0.3618,2.4107,0.8207,0.6543,0.8231,0.5826,26.4175,7.8023,0.341,0.0023,125.5292,0.827,0.7972,1.1305,Y
60,0.3855,2.4887,0.8542,0.7643,0.8498,0.5826,28.4073,7.8158,0.3517,0.0025,131.2395,0.8202,0.8948,1.1307,Y
61,0.4376,2.7601,0.9333,0.8579,0.8979,0.7109,2.3898,10.6117,0.3761,0.0032,157.2432,0.7998,0.9193,1.177,N
62,0.3929,2.554,0.8612,0.7931,0.8498,0.604,4.4469,10.4973,0.3539,0.0027,145.0307,0.8213,0.921,1.1495,N
63,0.4327,2.6404,0.8691,0.6074,0.8605,0.6147,6.2132,10.4227,0.371,0.0025,126.9854,0.8541,0.6988,1.1323,Y
64,0.3708,2.4263,0.8181,0.5584,0.8124,0.5666,8.0048,10.3044,0.3454,0.0022,117.4878,0.8399,0.6826,1.1241,Y
65,0.3106,2.3645,0.7775,0.5017,0.7429,0.5505,9.9194,10.235,0.3133,0.0026,154.6476,0.8089,0.6453,1.1968,Y
66,0.4385,2.6112,0.9266,0.811,0.914,0.5772,11.8916,10.0631,0.3747,0.0038,190.2508,0.8063,0.8752,1.1124,Y
67,0.4087,2.4921,0.8625,0.5682,0.8605,0.5719,13.8139,10.0853,0.362,0.0029,151.6264,0.8363,0.6587,1.0997,Y
68,0.4168,2.5507,0.9361,0.7865,0.9353,0.5398,15.6047,9.8753,0.3662,0.0049,250.4851,0.7782,0.8401,1.1146,N
69,0.4455,2.725,0.9394,0.8302,0.93,0.5879,17.2873,9.8669,0.3754,0.0042,207.7984,0.8017,0.8838,1.1517,Y
70,0.412,2.5132,0.8659,0.5888,0.8659,0.5933,19.0694,9.7723,0.3626,0.0025,131.3295,0.8365,0.68,1.1045,Y
71,0.4225,2.5445,0.8837,0.5891,0.8819,0.5933,21.05,9.7153,0.3679,0.0029,146.1774,0.8299,0.6666,1.1043,Y
72,0.3464,2.3411,0.7768,0.5542,0.7697,0.604,22.9697,9.7537,0.3318,0.0017,97.0796,0.8549,0.7135,1.1221,Y
73,0.2866,2.157,0.7416,0.6221,0.7376,0.5131,24.6508,9.4966,0.3026,0.0019,115.9719,0.8146,0.8389,1.1365,Y
74,0.3593,2.4,0.797,0.7154,0.7964,0.5772,26.5722,9.4358,0.3388,0.0018,97.511,0.8487,0.8976,1.1294,Y
75,0.4056,2.506,0.855,0.617,0.8498,0.6307,28.4597,9.3852,0.3592,0.0018,93.8217,0.8405,0.7216,1.11,Y
76,0.5105,3.0339,0.9951,0.8911,0.9941,0.6521,2.3672,12.3975,0.404,0.0044,202.7819,0.8102,0.8954,1.1978,Y
77,0.4625,2.8131,0.9593,0.5891,0.9567,0.5933,4.4471,12.232,0.3849,0.0047,226.2477,0.8,0.6141,1.1668,Y
78,0.3541,2.4563,0.8506,0.5058,0.8445,0.5452,6.2045,12.0933,0.3379,0.0037,206.4606,0.7895,0.5947,1.1643,Y
79,0.2819,2.1054,0.753,0.4723,0.7483,0.4757,8.0753,11.9649,0.3013,0.0025,156.9621,0.7956,0.6272,1.1186,Y
80,0.3659,2.4295,0.8553,0.533,0.8445,0.5398,9.8979,11.9691,0.3435,0.0034,184.51,0.7979,0.6232,1.1331,Y
81,0.4387,2.6607,0.9426,0.8509,0.9247,0.6093,11.7131,11.766,0.3755,0.0038,191.2813,0.7928,0.9027,1.1332,N
82,0.453,2.7128,0.9486,0.5927,0.9353,0.5986,13.8457,11.7296,0.3806,0.0041,203.3652,0.8006,0.6248,1.1371,Y
83,0.3541,2.4076,0.7975,0.6361,0.7964,0.5879,15.4684,11.7397,0.3374,0.0018,102.2647,0.842,0.7976,1.1412,Y
84,0.2385,1.8875,0.6715,0.4438,0.6574,0.449,17.4842,11.7762,0.2758,0.0015,99.0146,0.8206,0.6608,1.0903,Y
85,0.4254,2.5823,0.9026,0.5802,0.8926,0.5826,19.2904,11.7168,0.3698,0.0033,165.1663,0.8154,0.6429,1.1169,Y
